sector,avg_size,current_size,avg_numb,current_numb
交运,3733.4774464017,5931.4000677222,78.8624925104853,107
传媒,2455.66601060113,5538.9178758379,44.8151587777112,137
保险,2989.94512812397,8578.3587816099,3.41521869382864,6
其他非银,251.02846267129,676.1864012514,3.6848412222888,15
军工,1611.74677019994,3445.9925457254,27.6177351707609,60
农林牧渔,2018.038231887,3380.3498134334,66.7225883762732,82
化工,4618.46320464709,8187.7461468438,168.28130617136,273
医疗,1141.88731480993,3576.2869418653,31.2025164769323,76
医药,5554.2992326626,11014.9453727817,129.50419412822,196
商贸零售,2707.69645348794,2933.2108409465,80.1803475134811,84
地产,5860.05878884635,9213.380377918,124.976033553026,141
奢侈品,41.0018144321839,79.4998292625,2.54373876572798,5
家电,2413.11427307911,5888.8727312066,41.9200119832235,69
建材,1798.76806152627,3169.8768736842,61.4883163571001,84
建筑,2910.58197890316,5803.2582684337,56.6000599161174,121
有色,3905.4258054241,5634.0937686031,68.3759736369083,103
机械,5016.1483893309,8146.6941080617,174.786998202516,333
汽车,3620.96742909406,6778.7255756556,97.1135410425404,178
煤炭,1898.15466403072,1975.9199506306,32.407429598562,33
环保,1183.27422749291,2390.5229485668,28.5047932893948,73
电力,2928.10974256687,4847.0326455945,63.1539844218095,85
电力设备,3071.58465223899,4781.0728237847,90.5206710605153,151
电子,4308.74908266506,9875.1685870377,116.264829239065,211
白酒,2012.54753501492,6285.1029847352,13.3576992210905,18
石油,1855.07882751014,3945.5958712464,31.6476932294787,44
纺织服装,1418.87588279179,1630.2810888125,66.1303175554224,82
综合,996.449931720512,1323.8063230958,26.7492510485321,41
计算机,3250.23846501179,8007.8051084929,85.712103055722,193
证券,4217.06615391177,7659.059106557,15.8433193529059,39
超市,318.411316484416,516.8202971302,7.64289994008388,11
轻工,1279.73346292651,2478.0864965797,52.4227082085081,103
通信,2614.23777511906,5101.9541048353,60.9104254044338,123
钢铁,2133.64175588159,3071.5014905115,43.9763331336129,43
银行,10193.7650871009,19908.4693841753,14.7992810065908,26
食品饮料,1868.42731727844,4274.3484925279,43.5044937088077,79
餐饮旅游,660.422345710934,1396.2759839226,25.9119233073697,30
